# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.05105 0 -1 -1 0 0 0 -1 1 
0.606826 0 0 0 0 0 0 -1 1 
0.350351 0 5 0 0 1 0 0 0 
0.202275 0 1 0 0 -1 0 -1 1 
0.116784 0 1 0 0 1 0 0 1 
0.0674251 0 -3 0 0 -1 0 -1 1 
0.0389279 0 5 0 0 1 0 0 1 
0.022475 0 0 0 0 -1 0 -1 1 
0.012976 0 2 0 0 1 0 0 1 
0.00749168 0 4 0 0 -1 0 -1 1 
0.00432532 0 3 0 0 1 0 0 1 
0.00249723 0 3 0 0 -1 0 -1 1 
0.00144177 0 0 0 0 1 0 0 1 
0.000832409 0 0 0 0 -1 0 -1 1 
0.000480592 0 -5 0 0 2 0 0 1 
0.00027747 0 2 0 0 -1 0 -1 1 
0.000160197 0 1 0 0 2 0 0 1 
9.24899e-05 0 0 0 0 -1 0 -1 1 
5.33991e-05 0 0 0 0 2 0 0 1 
3.083e-05 0 1 0 0 -1 0 -1 1 
1.77997e-05 0 0 0 0 2 0 0 1 
1.02767e-05 0 -2 0 -1 -1 0 -1 0 
5.93323e-06 0 -5 0 0 3 0 0 0 
3.42555e-06 0 3 0 -1 -2 0 -1 0 
1.97774e-06 0 3 0 0 3 0 0 0 
1.14185e-06 0 3 0 -1 -2 0 -1 0 
6.59248e-07 0 3 0 0 3 0 0 0 
3.80617e-07 0 3 0 -1 -2 0 -1 0 
2.19749e-07 0 3 0 0 3 0 0 0 
1.26872e-07 0 3 0 -1 -2 0 -1 0 
7.32497e-08 0 3 0 0 3 0 0 0 
4.22908e-08 0 3 0 -1 -2 0 -1 0 
2.44166e-08 0 3 0 0 3 0 0 0 
1.40969e-08 0 3 0 -1 -2 0 -1 0 
8.13886e-09 0 3 0 0 3 0 0 0 
4.69897e-09 0 2 0 -1 -2 0 -1 0 
2.71295e-09 0 2 0 0 3 0 0 0 
1.56632e-09 0 3 0 -1 -2 0 -1 0 
9.04318e-10 0 3 0 0 3 0 0 0 
5.22108e-10 0 3 0 -1 -2 0 -1 0 
3.01439e-10 0 3 0 0 3 0 0 0 
1.74036e-10 0 3 0 -1 -2 0 -1 0 
1.0048e-10 0 3 0 0 3 0 0 0 
