# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.03535 0 -1 -1 0 0 0 -2 2 
0.654814 0 -7 0 0 0 0 -2 2 
0.414141 1 -13 0 0 1 0 -1 1 
0.261926 1 -4 0 0 1 0 -2 1 
0.165656 1 -9 0 0 3 1 -1 2 
0.10477 1 -4 0 0 1 1 -2 2 
0.0662625 1 3 0 0 3 1 -1 2 
0.0419081 1 1 0 0 1 1 -2 2 
0.026505 1 2 0 0 3 1 -1 2 
0.0167632 1 3 0 0 1 1 -2 2 
0.010602 1 -6 0 0 3 1 -1 2 
0.0067053 1 3 0 0 1 1 -2 2 
0.0042408 1 -2 0 0 3 1 -1 2 
0.00268212 1 7 0 0 1 1 -2 2 
0.00169632 1 -1 0 0 3 1 -1 2 
0.00107285 1 8 0 0 1 1 -2 2 
0.000678528 1 2 0 0 3 1 -1 2 
0.000429139 1 8 0 0 1 1 -2 2 
0.000271411 1 5 0 0 3 1 -1 2 
0.000171656 1 1 0 0 1 1 -2 2 
0.000108565 1 1 0 0 3 1 -1 2 
6.86622e-05 1 3 0 0 1 1 -2 2 
4.34258e-05 1 2 0 0 3 1 -1 2 
2.74649e-05 1 7 0 0 1 1 -2 2 
1.73703e-05 1 4 0 0 3 1 -1 2 
1.0986e-05 1 -2 0 0 1 1 -2 2 
6.94813e-06 1 -7 0 0 3 1 -1 2 
4.39438e-06 1 -8 0 0 1 1 -2 2 
2.77925e-06 1 -9 0 0 3 1 -1 2 
1.75775e-06 1 -9 0 0 1 1 -2 2 
1.1117e-06 1 -9 0 0 4 1 -1 2 
7.03101e-07 0 -8 0 0 1 1 -2 2 
4.4468e-07 0 -8 0 0 4 1 -1 2 
2.8124e-07 0 -9 0 0 1 1 -2 2 
1.77872e-07 0 -9 0 1 4 1 -1 2 
1.12496e-07 0 -9 0 0 1 1 -2 2 
7.11488e-08 0 -8 0 1 4 1 -1 2 
4.49985e-08 0 -7 0 0 1 1 -2 2 
2.84595e-08 0 -7 0 1 5 1 -1 2 
1.79994e-08 0 -7 0 0 1 1 -2 2 
1.13838e-08 0 -6 0 1 6 1 -1 2 
7.19976e-09 0 -5 0 0 1 1 -2 2 
4.55353e-09 0 -5 0 1 6 1 -1 2 
2.8799e-09 0 -6 0 0 1 1 -2 2 
1.82141e-09 0 -7 0 1 7 1 0 2 
1.15196e-09 0 -6 0 0 1 1 -2 2 
7.28564e-10 0 -4 0 1 9 1 0 2 
4.60784e-10 0 -1 0 0 0 1 -1 2 
2.91426e-10 0 2 0 1 9 1 0 1 
1.84314e-10 0 7 0 0 0 1 -1 1 
1.1657e-10 0 -4 0 1 9 1 1 1 
7.37255e-11 0 -3 0 -1 -1 1 -1 1 
4.66281e-11 0 -5 0 1 8 1 1 1 
2.94902e-11 0 -8 0 -1 -2 1 -1 1 
1.86512e-11 0 -1 0 1 8 1 1 1 
1.17961e-11 0 -1 0 -1 -2 1 -1 1 
7.4605e-12 0 -1 0 1 8 1 1 1 
4.71843e-12 0 -1 0 -1 -2 1 -1 1 
2.9842e-12 0 -9 0 1 8 1 1 1 
1.88737e-12 0 -5 0 -1 -2 1 -1 1 
1.19368e-12 0 -8 0 1 8 1 1 1 
7.54949e-13 0 4 0 -1 -2 1 -1 1 
4.77472e-13 0 9 0 1 8 1 1 1 
3.0198e-13 0 1 0 -1 -2 1 -1 1 
1.90989e-13 0 1 0 1 8 1 1 1 
1.20792e-13 0 1 0 -1 -2 1 -1 1 
7.63955e-14 0 1 0 1 8 1 1 1 
4.83167e-14 0 9 0 -1 -2 1 -1 1 
3.05582e-14 0 6 0 1 8 1 1 1 
1.93267e-14 0 5 0 -1 -2 1 -1 1 
1.22233e-14 0 4 0 1 8 1 1 1 
7.73068e-15 0 4 0 -1 -2 1 -1 1 
4.88931e-15 0 4 0 1 8 1 1 1 
3.09227e-15 0 5 0 -1 -2 1 -1 1 
1.95572e-15 0 8 0 1 8 1 1 1 
1.23691e-15 0 8 0 -1 -2 1 -1 1 
